Giocatore,Team,Role,Score_norm,Prob_Gol,Pred_Gol_Pesata,Etichetta_Predetta
nahitan nandez,Cagliari,C,0.5381050385756043,0.0463,0.1028,sorpresa
razvan marin,Empoli,C,0.5358576940183092,0.0,0.0,non consigliato
valentin carboni,Monza,C,0.5343029826889025,0.0749,0.0861,non consigliato
davide frattesi,Inter,C,0.5335925583046782,0.1831,0.1528,consigliato
michel aebischer,Bologna,C,0.5320367732114135,0.0,0.0,non consigliato
tomas suslov,Verona,C,0.5303053228194105,0.3327,0.1375,consigliato
matias vecino,Lazio,C,0.5286469109969563,0.1603,0.215,consigliato
enzo barrenechea,Frosinone,C,0.5240230513814849,0.0,0.0,non consigliato
maxime lopez,Fiorentina,C,0.520438778255191,0.0,0.0,non consigliato
grigoris kastanos,Salernitana,C,0.5199983499417313,0.0749,0.0861,non consigliato
milan badelj,Genoa,C,0.5165731358007173,0.0213,0.0903,sorpresa
rolando mandragora,Fiorentina,C,0.5139622049274291,0.0599,0.0861,non consigliato
luca mazzitelli,Frosinone,C,0.5103031036251567,0.1712,0.1361,non consigliato
walace,Udinese,C,0.5077038771893244,0.0463,0.0736,non consigliato
davide zappacosta,Atalanta,C,0.4999450385124125,0.0463,0.0736,non consigliato
giulio maggiore,Salernitana,C,0.4967073278138196,0.1073,0.1128,sorpresa
loum tchaouna,Salernitana,C,0.4941976783793705,0.1073,0.1213,non consigliato
daniel boloca,Sassuolo,C,0.4913681275389887,0.0,0.0,non consigliato
antoine makoumbou,Cagliari,C,0.4907186937647034,0.0,0.0,non consigliato
gianluca gaetano,Cagliari,C,0.4906114284579281,0.1334,0.1236,non consigliato
antonin barak,Fiorentina,C,0.4893110304873073,0.0463,0.105,non consigliato
nedim bajrami,Sassuolo,C,0.4888083197560489,0.0463,0.0736,non consigliato
jonathan ikone,Fiorentina,C,0.4864263515408084,0.0894,0.0986,non consigliato
giovanni fabbian,Bologna,C,0.4861222912373084,0.1831,0.1236,non consigliato
morten frendrup,Genoa,C,0.4843752013307233,0.0463,0.105,non consigliato
nicolo rovella,Lazio,C,0.4828671143913633,0.0,0.0,non consigliato
francesco gelli,Frosinone,C,0.4827520982374294,0.0,0.0,non consigliato
edoardo bove,Roma,C,0.4795176993392412,0.0,0.0,non consigliato
yunus musah,AC Milan,C,0.467621181574357,0.0,0.0,non consigliato
ruslan malinovsky,Genoa,C,0.4670474543231139,0.3219,0.1273,consigliato
adrien tameze,Torino,C,0.4664350715729847,0.0,0.0,non consigliato
danilo cataldi,Lazio,C,0.4618573076937065,0.0213,0.0611,non consigliato
youssef maleh,Empoli,C,0.460950224076004,0.0,0.0,non consigliato
reinier,Frosinone,C,0.4603497514652185,0.0463,0.0736,non consigliato
nikola moro,Bologna,C,0.4525944488037702,0.0213,0.0611,non consigliato
manuel lazzari,Lazio,C,0.4500337894150118,0.0,0.0,non consigliato
kevin strootman,Genoa,C,0.4444744840054523,0.0,0.0,non consigliato
fabio miretti,Juventus,C,0.4432896102724298,0.0213,0.0611,non consigliato
michael folorunsho,Verona,C,0.4430749068692927,0.1073,0.1128,sorpresa
kacper urbanski,Bologna,C,0.442594693753579,0.0,0.0,non consigliato
matteo prati,Cagliari,C,0.4322342363278718,0.0213,0.0753,sorpresa
lassana coulibaly,Salernitana,C,0.4284186473139258,0.0,0.0,non consigliato
joan gonzalez,Lecce,C,0.4267975395289502,0.0,0.0,non consigliato
jacopo fazzini,Empoli,C,0.4195318731867273,0.0213,0.0611,non consigliato
mohamed kaba,Lecce,C,0.4154481106207489,0.0,0.0,non consigliato
jens-lys cajuste,Napoli,C,0.4151743522624434,0.0,0.0,non consigliato
suat serdar,Verona,C,0.4146367750610847,0.0,0.0,non consigliato
alexis blin,Lecce,C,0.414332321866978,0.0,0.0,non consigliato
gabriel strefezza,Lecce,C,0.4139890959239084,0.0213,0.0611,non consigliato
warren bondo,Monza,C,0.4139024789727004,0.0213,0.0611,non consigliato
martin payero,Udinese,C,0.4123479815732578,0.0463,0.105,non consigliato
ylber ramadani,Lecce,C,0.4112758962427167,0.0213,0.0611,non consigliato
timothy weah,Juventus,C,0.4099402286262942,0.0,0.0,non consigliato
morten thorsby,Genoa,C,0.4077748274733005,0.0463,0.105,non consigliato
alberto grassi,Empoli,C,0.4067516107404098,0.0,0.0,non consigliato
hamza rafia,Lecce,C,0.3936898267465148,0.0213,0.0611,non consigliato
ibrahim sulemana,Cagliari,C,0.3921947998200553,0.0463,0.0736,non consigliato
gaetano oristanio,Cagliari,C,0.3897394104297538,0.0213,0.0611,non consigliato
nicola zalewski,Roma,C,0.3873978688066596,0.0,0.0,non consigliato
karol linetty,Torino,C,0.385431362866672,0.0,0.0,non consigliato
uros racic,Sassuolo,C,0.3852327782635176,0.0213,0.0611,non consigliato
jesper lindstrm,Napoli,C,0.377706076224793,0.0,0.0,non consigliato
jean-daniel akpa-akpro,Monza,C,0.344364215039701,0.0,0.0,non consigliato
alessandro deiola,Cagliari,C,0.3409035605203178,0.1109,0.0898,sorpresa
mateusz legowski,Salernitana,C,0.3293745703196102,0.0,0.0,non consigliato
abdou harroui,Frosinone,C,0.1103463919419757,0.045,0.0861,non consigliato
houssem aouar,Roma,C,0.064581342104769,0.2146,0.1273,non consigliato
nicolo fagioli,Juventus,C,0.0607542996096716,0.0,0.0,non consigliato
juan cuadrado,Inter,C,0.0562894166987246,0.0,0.0,non consigliato
junior sambia,Salernitana,C,0.0559704964907998,0.1109,0.0898,non consigliato
jakub jankto,Cagliari,C,0.0500704726441913,0.0213,0.0611,non consigliato
arijon ibrahimovic,Frosinone,C,0.0495920923323041,0.0,0.0,non consigliato
gaetano castrovilli,Fiorentina,C,0.0494326322283417,0.0213,0.0838,non consigliato
viktor kovalenko,Empoli,C,0.0491137120204169,0.0213,0.0611,non consigliato
simone bastoni,Empoli,C,0.0473596508768306,0.0213,0.0611,non consigliato
toma basic,Salernitana,C,0.0468812705649434,0.0,0.0,non consigliato
hans nicolussi caviglia,Juventus,C,0.0424163876539964,0.0,0.0,non consigliato
oussama el azzouzi,Bologna,C,0.0417785472381468,0.0463,0.0736,non consigliato
szymon zurkowski,Empoli,C,0.0368352840153127,0.0508,0.0986,non consigliato
martin hongla,Verona,C,0.0352406829756887,0.0,0.0,non consigliato
eljif elmas,Napoli,C,0.034921762767764,0.0463,0.0736,non consigliato
agustin martegani,Salernitana,C,0.0326893213122905,0.0213,0.0611,non consigliato
hamed traore,Napoli,C,0.0320514808964409,0.0,0.0,non consigliato
gvidas gineitis,Torino,C,0.0298190394409674,0.0,0.0,non consigliato
oier zarraga,Udinese,C,0.0280649782973811,0.0463,0.0736,non consigliato
alberto cerri,Empoli,C,0.0272676777775691,0.0,0.0,non consigliato
emil bohinen,Salernitana,C,0.0261514570498323,0.0,0.0,non consigliato
emanuel vignato,Salernitana,C,0.0256730767379452,0.0,0.0,non consigliato
samuel vignato,Monza,C,0.0242379358022836,0.0,0.0,non consigliato
carlos alcaraz,Juventus,C,0.0240784756983213,0.0,0.0,non consigliato
berkan kutlu,Genoa,C,0.0239190155943589,0.0,0.0,non consigliato
medon berisha,Lecce,C,0.0234406352824717,0.0,0.0,non consigliato
stefano sensi,Inter,C,0.0229622549705845,0.0,0.0,non consigliato
pedro obiang,Sassuolo,C,0.0202514332032238,0.0,0.0,non consigliato
tajon buchanan,Inter,C,0.0197730528913366,0.0213,0.0903,non consigliato
michel ndary adopo,Atalanta,C,0.0191352124754871,0.0,0.0,non consigliato
iron gomis,Salernitana,C,0.0173811513319008,0.0,0.0,non consigliato
luca garritano,Frosinone,C,0.0172216912279384,0.0,0.0,non consigliato
marco mancosu,Cagliari,C,0.0169027710200136,0.0,0.0,non consigliato
riccardo saponara,Verona,C,0.0165838508120888,0.0,0.0,non consigliato
luca lipani,Sassuolo,C,0.0161054705002016,0.0,0.0,non consigliato
filippo ranocchia,Empoli,C,0.0145108694605777,0.0,0.0,non consigliato
rade krunic,AC Milan,C,0.0138730290447281,0.0,0.0,non consigliato
renato sanches,Roma,C,0.0137135689407657,0.0213,0.0611,non consigliato
davy klaassen,Inter,C,0.0133946487328409,0.0,0.0,non consigliato
charlys,Verona,C,0.0119595077971794,0.0,0.0,non consigliato
daniel silva,Verona,C,0.0106838269654803,0.0,0.0,non consigliato
tommaso pobega,AC Milan,C,0.0102054466535931,0.0,0.0,non consigliato
alejandro gomez,Monza,C,0.0102054466535931,0.0,0.0,non consigliato
paul pogba,Juventus,C,0.0092486860298187,0.0,0.0,non consigliato
nicolas dominguez,Bologna,C,0.0092486860298187,0.0,0.0,non consigliato
riccardo pagano,Roma,C,0.0092486860298187,0.0,0.0,non consigliato
simone verdi,Torino,C,0.0087703057179315,0.0,0.0,non consigliato
ebenezer akinsanmiro,Inter,C,0.0087703057179315,0.0,0.0,non consigliato
jose machin,Monza,C,0.0070162445743452,0.0,0.0,non consigliato
elayis tavsan,Verona,C,0.0060594839505709,0.0,0.0,non consigliato
lorenzo amatucci,Fiorentina,C,0.0060594839505709,0.0,0.0,non consigliato
kevin leone,Sassuolo,C,0.0055811036386837,0.0,0.0,non consigliato
joselito,Verona,C,0.0055811036386837,0.0,0.0,non consigliato
niccolo pisilli,Roma,C,0.0055811036386837,0.0,0.0,non consigliato
francesco d'alessio,Roma,C,0.0055811036386837,0.0,0.0,non consigliato
iwo kaczmarski,Empoli,C,0.0055811036386837,0.0,0.0,non consigliato
lucien agoume,Inter,C,0.0055811036386837,0.0,0.0,non consigliato
karlo lulic,Frosinone,C,0.0055811036386837,0.0,0.0,non consigliato
karim zedadka,Napoli,C,0.0055811036386837,0.0,0.0,non consigliato
liam henderson,Empoli,C,0.0055811036386837,0.0,0.0,non consigliato
antonio pio iervolino,Salernitana,C,0.0055811036386837,0.0,0.0,non consigliato
kevin zeroli,AC Milan,C,0.0055811036386837,0.0,0.0,non consigliato
antonino viola,Lecce,C,0.0055811036386837,0.0,0.0,non consigliato
andre anderson,Lazio,C,0.0055811036386837,0.0,0.0,non consigliato
lorenzo ignacchiti,Empoli,C,0.0055811036386837,0.0,0.0,non consigliato
justin kumi,Sassuolo,C,0.0055811036386837,0.0,0.0,non consigliato
reda belahyane,Verona,C,0.0055811036386837,0.0,0.0,non consigliato
leander dendoncker,Napoli,C,0.0055811036386837,0.0,0.0,non consigliato
luca belardinelli,Empoli,C,0.0055811036386837,0.0,0.0,non consigliato
orir johann helgason,Lecce,C,0.0055811036386837,0.0,0.0,non consigliato
niklas pyyhtia,Bologna,C,0.0055811036386837,0.0,0.0,non consigliato
franco carboni,Monza,C,0.0055811036386837,0.0,0.0,non consigliato
david pejicic,Udinese,C,0.0055811036386837,0.0,0.0,non consigliato
quina,Udinese,C,0.0055811036386837,0.0,0.0,non consigliato
christos papadopoulos,Genoa,C,0.0055811036386837,0.0,0.0,non consigliato
christos kourfalidis,Cagliari,C,0.0055811036386837,0.0,0.0,non consigliato
daniel samek,Lecce,C,0.0055811036386837,0.0,0.0,non consigliato
marcin listkowski,Lecce,C,0.0055811036386837,0.0,0.0,non consigliato
marco ballarini,Udinese,C,0.0055811036386837,0.0,0.0,non consigliato
gino infantino,Fiorentina,C,0.0055811036386837,0.0,0.0,non consigliato
catalin vulturar,Lecce,C,0.0055811036386837,0.0,0.0,non consigliato
giacomo faticanti,Lecce,C,0.0055811036386837,0.0,0.0,non consigliato
mamadou coulibaly,Salernitana,C,0.0055811036386837,0.0,0.0,non consigliato
marko rog,Cagliari,C,0.0055811036386837,0.0,0.0,non consigliato
giovanni crociata,Empoli,C,0.0055811036386837,0.0,0.0,non consigliato
alessandro sodero,Empoli,C,0.0055811036386837,0.0,0.0,non consigliato
pablo galdames,Genoa,C,0.0055811036386837,0.0,0.0,non consigliato
filip jagiello,Genoa,C,0.0055811036386837,0.0,0.0,non consigliato
nicola patane,Verona,C,0.0055811036386837,0.0,0.0,non consigliato
mattia mannini,Roma,C,0.0055811036386837,0.0,0.0,non consigliato
mattia valoti,Monza,C,0.0055811036386837,0.0,0.0,non consigliato
etienne camara,Udinese,C,0.0055811036386837,0.0,0.0,non consigliato
domingos quina,Udinese,C,0.0055811036386837,0.0,0.0,non consigliato
victor eletu,AC Milan,C,0.0055811036386837,0.0,0.0,non consigliato
nunzio lella,Cagliari,C,0.0055811036386837,0.0,0.0,non consigliato
nikola sekulov,Juventus,C,0.0055811036386837,0.0,0.0,non consigliato
luka romero,AC Milan,C,0.0033486621832102,0.0,0.0,non consigliato
nicolas haas,Empoli,C,0.002870281871323,0.0,0.0,non consigliato
diego demme,Napoli,C,0.0023919015594358,0.0,0.0,non consigliato
mehdi bourabia,Frosinone,C,0.0012756808316991,0.0,0.0,non consigliato
joseph boende,Juventus,C,0.0,0.0,0.0,non consigliato
lautaro martinez,Inter,A,1.0,0.5038,0.3778,consigliato
albert gudmundsson,Genoa,A,0.9217349622639194,0.391,0.2425,consigliato
matias soule,Frosinone,A,0.8382918373067876,0.2472,0.18,consigliato
paulo dybala,Roma,A,0.8194920748790997,0.2724,0.2425,consigliato
khvicha kvaratskhelia,Napoli,A,0.8164231058664397,0.3206,0.2003,consigliato
olivier giroud,AC Milan,A,0.79886033517632,0.68,0.375,consigliato
dusan vlahovic,Juventus,A,0.774467915127962,0.3238,0.2486,consigliato
rafael leao,AC Milan,A,0.7737022862058283,0.5024,0.3515,consigliato
marcus thuram,Inter,A,0.7660261160360614,0.3519,0.2403,consigliato
christian pulisic,AC Milan,A,0.7638988296978675,0.3184,0.15,consigliato
victor osimhen,Napoli,A,0.7341955970620807,0.3169,0.3402,consigliato
charles de ketelaere,Atalanta,A,0.733663529112349,0.2015,0.1125,consigliato
ademola lookman,Atalanta,A,0.7261281116084548,0.2711,0.2775,consigliato
matteo politano,Napoli,A,0.7204012116395615,0.1923,0.1486,consigliato
duvan zapata,Torino,A,0.7111918227469753,0.4004,0.2253,consigliato
joshua zirkzee,Bologna,A,0.7013123983893322,0.3645,0.1861,consigliato
romelu lukaku,Roma,A,0.6910330888800196,0.4397,0.2529,consigliato
gianluca scamacca,Atalanta,A,0.6885200374732376,0.513,0.325,consigliato
nicolas gonzalez,Fiorentina,A,0.6741926252539724,0.3823,0.4,consigliato
federico chiesa,Juventus,A,0.6523830598716707,0.4187,0.2125,consigliato
riccardo orsolini,Bologna,A,0.6332960829678862,0.1744,0.1736,non consigliato
armand lauriente,Sassuolo,A,0.5762828461167271,0.0995,0.1338,non consigliato
andrea pinamonti,Sassuolo,A,0.5712719829198509,0.3538,0.2278,consigliato
nikola krstovic,Lecce,A,0.546031290576126,0.126,0.2402,non consigliato
milan djuric,Verona,A,0.5402852581068134,0.2674,0.2525,consigliato
lorenzo lucca,Udinese,A,0.5372352538779441,0.2268,0.1653,consigliato
giacomo raspadori,Napoli,A,0.5369526895211365,0.1229,0.1111,non consigliato
walid cheddira,Frosinone,A,0.5348300417528841,0.1712,0.1503,consigliato
alexis saelemaekers,Bologna,A,0.5237712933132613,0.0894,0.13,non consigliato
aleksey miranchuk,Atalanta,A,0.5217060623788722,0.0749,0.0861,non consigliato
florian thauvin,Udinese,A,0.5151711554124309,0.0894,0.0986,non consigliato
ciro immobile,Lazio,A,0.5087514727829896,0.1764,0.1588,non consigliato
cyril ngonge,Napoli,A,0.4990652635055614,0.1603,0.1236,non consigliato
lucas beltran,Fiorentina,A,0.486950125264437,0.1603,0.1236,non consigliato
nikola vlasic,Torino,A,0.4802855811270323,0.0749,0.0861,non consigliato
dany mota,Monza,A,0.4693012692440972,0.1073,0.0986,non consigliato
antonio sanabria,Torino,A,0.4675122241620843,0.1433,0.1111,non consigliato
luka jovic,AC Milan,A,0.4657185663706282,0.1603,0.1236,non consigliato
andrea belotti,Fiorentina,A,0.451878010669156,0.1081,0.1236,non consigliato
mateo retegui,Genoa,A,0.4505252030670766,0.2197,0.1713,non consigliato
m'bala nzola,Fiorentina,A,0.4477414283987825,0.0749,0.1003,sorpresa
noah okafor,AC Milan,A,0.4464912088908567,0.1603,0.1236,non consigliato
marko arnautovic,Inter,A,0.4359740897552554,0.2867,0.0625,consigliato
alexis sanchez,Inter,A,0.4293440294623524,0.0463,0.0736,non consigliato
zito luvumbo,Cagliari,A,0.4218342271585197,0.1195,0.1111,non consigliato
stephan el shaarawy,Roma,A,0.418244125420769,0.0749,0.0861,non consigliato
lameck banda,Lecce,A,0.4155316875643998,0.0463,0.0736,non consigliato
arkadiusz milik,Juventus,A,0.4105186360170172,0.1073,0.1128,sorpresa
pontus almqvist,Lecce,A,0.4092620201784919,0.0347,0.0736,non consigliato
valentin castellanos,Lazio,A,0.405670708520928,0.087,0.0986,non consigliato
nicolo cambiaghi,Empoli,A,0.3973908584137184,0.0213,0.0611,non consigliato
federico bonazzoli,Verona,A,0.3962712806190206,0.045,0.0861,non consigliato
darko lazovic,Verona,A,0.3928057418709881,0.0749,0.1088,non consigliato
caleb ekuban,Genoa,A,0.3913512269381301,0.1073,0.1213,non consigliato
riccardo sottil,Fiorentina,A,0.3910341927968974,0.0463,0.105,non consigliato
dan ndoye,Bologna,A,0.3901715493456509,0.0213,0.0903,sorpresa
gianluca lapadula,Cagliari,A,0.3893838847683358,0.0749,0.1003,sorpresa
roberto piccoli,Lecce,A,0.3735319321575109,0.1073,0.0986,non consigliato
matteo cancellieri,Empoli,A,0.372727840389174,0.2048,0.1398,sorpresa
kenan yildiz,Juventus,A,0.3718143780461207,0.0463,0.0878,sorpresa
francesco caputo,Empoli,A,0.3697194042748725,0.0463,0.0736,non consigliato
lorenzo colombo,Monza,A,0.3649950854407962,0.0749,0.0861,non consigliato
pedro rodriguez,Lazio,A,0.3585789306352385,0.0213,0.0611,non consigliato
samuel chukwueze,AC Milan,A,0.3551505491548597,0.0213,0.0611,non consigliato
tommaso baldanzi,Roma,A,0.3539934540541158,0.0463,0.0736,non consigliato
gustav isaksen,Lazio,A,0.3478766847296071,0.0749,0.0861,non consigliato
nicola sansone,Lecce,A,0.3465871695670076,0.0463,0.0736,non consigliato
cristian volpato,Sassuolo,A,0.3365828199215989,0.0213,0.0611,non consigliato
patrick ciurria,Monza,A,0.3323795032547592,0.0,0.0,non consigliato
samuel iling-junior,Juventus,A,0.3305908169557744,0.0213,0.0611,non consigliato
kaio jorge,Frosinone,A,0.3305865248662942,0.0599,0.0861,non consigliato
eldor shomurodov,Cagliari,A,0.327795813056594,0.0463,0.0736,non consigliato
christian kouame,Fiorentina,A,0.3236185434350276,0.0463,0.0736,non consigliato
sardar azmoun,Roma,A,0.2990707778676363,0.0749,0.0861,non consigliato
alessio zerbin,Monza,A,0.2870746436134114,0.0,0.0,non consigliato
isaac success,Udinese,A,0.2855494717737655,0.0213,0.0838,non consigliato
leonardo pavoletti,Cagliari,A,0.2796135484280822,0.0347,0.0736,non consigliato
domenico berardi,Sassuolo,A,0.2746738919874217,0.2131,0.1486,non consigliato
chukwubuikem ikwuemesi,Salernitana,A,0.2738843604327813,0.0213,0.0611,non consigliato
gregoire defrel,Sassuolo,A,0.2708195060011339,0.0213,0.0611,non consigliato
emmanuel quartsin gyasi,Empoli,A,0.2653376287289402,0.0213,0.0611,non consigliato
giovanni simeone,Napoli,A,0.2632779954625802,0.0213,0.0611,non consigliato
jackson tchatchoua,Verona,A,0.2469375096698177,0.0,0.0,non consigliato
demba seck,Frosinone,A,0.2426830974289478,0.0,0.0,non consigliato
pietro pellegri,Torino,A,0.2384663574060406,0.0213,0.0903,sorpresa
marvin cuni,Frosinone,A,0.2349666707489096,0.0213,0.0611,non consigliato
moise kean,Juventus,A,0.2285056642987328,0.0,0.0,non consigliato
samuele mulattieri,Sassuolo,A,0.216538621598529,0.0,0.0,non consigliato
tijjani noslin,Verona,A,0.1780392862324138,0.2048,0.1602,sorpresa
m'baye niang,Empoli,A,0.1628093609548119,0.4865,0.175,non consigliato
boulaye dia,Salernitana,A,0.1165843481314194,0.0749,0.0861,non consigliato
daniel maldini,Empoli,A,0.1118158731243747,0.0894,0.0986,non consigliato
luis muriel,Atalanta,A,0.0942017103432504,0.0347,0.0736,non consigliato
simy,Salernitana,A,0.0810640751197599,0.1758,0.1023,non consigliato
andrea petagna,Cagliari,A,0.075273784039777,0.0213,0.0611,non consigliato
thomas henry,Verona,A,0.0692888613268536,0.0599,0.0861,non consigliato
karol swiderski,Verona,A,0.065201597035101,0.0463,0.1028,non consigliato
junior messias,Genoa,A,0.0607250694774672,0.0213,0.0611,non consigliato
el bilal toure,Atalanta,A,0.0604817799362914,0.0463,0.0736,non consigliato
nemanja radonjic,Torino,A,0.060335806211586,0.0,0.0,non consigliato
jovane cabral,Salernitana,A,0.0482686449692688,0.0213,0.0611,non consigliato
jens odgaard,Bologna,A,0.0479766975198579,0.0463,0.0736,non consigliato
emmanuel ekong,Empoli,A,0.0459330653739816,0.0,0.0,non consigliato
vitor oliveira,Genoa,A,0.0452518546586895,0.1758,0.1023,non consigliato
jaime baez,Frosinone,A,0.0406293533763502,0.0213,0.0611,non consigliato
samuel castillejo,Sassuolo,A,0.0375639051575358,0.0,0.0,non consigliato
josip brekalo,Fiorentina,A,0.0334766408657832,0.0213,0.0611,non consigliato
mirko maric,Monza,A,0.033087377599902,0.0213,0.0611,non consigliato
gianluca caprari,Monza,A,0.0324061668846099,0.0,0.0,non consigliato
rares burnete,Lecce,A,0.031141061270496,0.0,0.0,non consigliato
tammy abraham,Roma,A,0.030508508463439,0.0213,0.0925,non consigliato
santiago castro,Bologna,A,0.02919474494109,0.0213,0.0753,non consigliato
shon weissman,Salernitana,A,0.0270537969787434,0.0213,0.0611,non consigliato
beto,Udinese,A,0.0265672178963919,0.0,0.0,non consigliato
keinan davis,Udinese,A,0.0251074806493374,0.1109,0.0898,non consigliato
stiven shpendi,Empoli,A,0.0207282689081739,0.0,0.0,non consigliato
zanos savva,Torino,A,0.0201443740093521,0.0213,0.0903,non consigliato
santiago pierotti,Lecce,A,0.0196577949270006,0.0,0.0,non consigliato
jesper karlsson,Bologna,A,0.018490005129357,0.0,0.0,non consigliato
chaka traore,AC Milan,A,0.0177114785975945,0.0213,0.0611,non consigliato
joao costa,Roma,A,0.0174195311481837,0.0,0.0,non consigliato
federico di francesco,Lecce,A,0.0172248995152431,0.0142,0.0611,non consigliato
kingstone mutandwa,Cagliari,A,0.0172248995152431,0.1109,0.0898,non consigliato
george puscas,Genoa,A,0.014597372470545,0.0,0.0,non consigliato
emil konradsen ceide,Sassuolo,A,0.013332266856431,0.0,0.0,non consigliato
stefan mitrovic,Verona,A,0.0123591086917281,0.0,0.0,non consigliato
jordi mboula,Verona,A,0.0121158191505523,0.0,0.0,non consigliato
david okereke,Torino,A,0.011677897976436,0.0,0.0,non consigliato
andres sfait,Salernitana,A,0.0105101081787924,0.0,0.0,non consigliato
giuseppe caso,Frosinone,A,0.0104614502705572,0.0,0.0,non consigliato
brenner da silva,Udinese,A,0.0084664760329161,0.0,0.0,non consigliato
mattia destro,Empoli,A,0.0080772127670349,0.0,0.0,non consigliato
sydney van hooijdonk,Bologna,A,0.007785265317624,0.0,0.0,non consigliato
fares ghedjemis,Frosinone,A,0.006812107152921,0.0,0.0,non consigliato
yann karamoh,Torino,A,0.0053523699058665,0.0,0.0,non consigliato
trivante stewart,Salernitana,A,0.0043792117411635,0.0,0.0,non consigliato
juan manuel cruz,Verona,A,0.0039899484752823,0.0,0.0,non consigliato
david ankeye,Genoa,A,0.0023355795952871,0.0,0.0,non consigliato
seydou fini,Genoa,A,0.0006812107152921,0.0,0.0,non consigliato
simone pafundi,Udinese,A,0.0004865790823515,0.0,0.0,non consigliato
yayah kallon,Verona,A,0.0001946316329406,0.0,0.0,non consigliato
luigi canotto,Frosinone,A,0.0001946316329406,0.0,0.0,non consigliato
diego valencia,Salernitana,A,0.0001946316329406,0.0,0.0,non consigliato
ola solbakken,Roma,A,0.0001946316329406,0.0,0.0,non consigliato
diego gonzalez,Lazio,A,0.0001946316329406,0.0,0.0,non consigliato
vivaldo semedo,Udinese,A,0.0001946316329406,0.0,0.0,non consigliato
agustin alvarez,Sassuolo,A,0.0001946316329406,0.0,0.0,non consigliato
jeppe corfitzen,Lecce,A,0.0001946316329406,0.0,0.0,non consigliato
till winkelman,Lecce,A,0.0001946316329406,0.0,0.0,non consigliato
flavio russo,Sassuolo,A,0.0001946316329406,0.0,0.0,non consigliato
giacomo corona,Empoli,A,0.0001946316329406,0.0,0.0,non consigliato
matija popovic,Monza,A,0.0001946316329406,0.0,0.0,non consigliato
giorgi kvernadze,Frosinone,A,0.0001946316329406,0.0,0.0,non consigliato
gaston pereiro,Cagliari,A,0.0001946316329406,0.0,0.0,non consigliato
gerard deulofeu,Udinese,A,0.0001946316329406,0.0,0.0,non consigliato
massimo coda,Genoa,A,0.0001946316329406,0.0,0.0,non consigliato
francesco camarda,AC Milan,A,0.0001946316329406,0.0,0.0,non consigliato
siren diao balde,Verona,A,0.0001946316329406,0.0,0.0,non consigliato
marley ake,Udinese,A,0.0001946316329406,0.0,0.0,non consigliato
gennaro borrelli,Frosinone,A,0.0001946316329406,0.0,0.0,non consigliato
hirving lozano,Napoli,A,0.0001946316329406,0.0,0.0,non consigliato
jacopo desogus,Cagliari,A,0.0001946316329406,0.0,0.0,non consigliato
luigi cherubini,Roma,A,0.0001946316329406,0.0,0.0,non consigliato
sekou diawara,Udinese,A,0.0001946316329406,0.0,0.0,non consigliato
leonardo cerri,Juventus,A,0.0001946316329406,0.0213,0.0611,non consigliato
joaquin correa,Inter,A,0.0001946316329406,0.0,0.0,non consigliato
soufiane bidaoui,Frosinone,A,0.0001946316329406,0.0,0.0,non consigliato
andrea ferraris,Monza,A,0.0001946316329406,0.0,0.0,non consigliato
joel voelkerling persson,Lecce,A,0.0001946316329406,0.0,0.0,non consigliato
junior ajayi,Verona,A,0.0001946316329406,0.0,0.0,non consigliato
assan ceesay,Lecce,A,0.0001946316329406,0.0,0.0,non consigliato
alphadjo cisse,Verona,A,0.0001946316329406,0.0,0.0,non consigliato
erik botheim,Salernitana,A,0.0,0.0,0.0,non consigliato
